Pais,Anio,Poblacion urbana,Poblacion rural,Total
Chile,1960,5517094,2615894,8132988
Paraguay,2020,4435221,2697309,7132530
Ecuador,2020,11320846,6322214,17643060
Bolivia,2020,8185478,3487551,11673029
Bolivia,1960,1344372,2312589,3656961
Uruguay,2020,3317930,155797,3473727
Colombia,2020,41431388,9451496,50882884
Argentina,2020,41796990,3579773,45376763
Venezuela,2020,25102966,3332977,28435943
Venezuela,1960,5016431,3125408,8141839
Colombia,1960,7429583,8628131,16057714
Uruguay,1960,2037037,501611,2538648
Peru,2020,25815966,7155880,32971846
Chile,2020,16770077,2346132,19116209
Argentina,1960,15076844,5404937,20481781
Ecuador,1960,1539300,3004358,4543658
Brasil,2020,185081854,27477555,212559409
Peru,1960,4753662,5401349,10155011
Brasil,1960,33302777,38876458,72179235
